unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction,1,Introduction,,,http://r351574nc3.github.com/liquibase-course/lessons/Lesson1.1.html,6Hfl--jZBeY,<ul><li>Quick Overview</li></ul>
1,Introduction,2,Diving into Liquibase,,,http://r351574nc3.github.com/liquibase-course/lessons/Lesson1.2.html,,<ul><li>High level overview of Liquibase</li><li>Understand how Liquibase works on a fundamental level</li></ul>
2,Getting Started with Liquibase,1,Downloading and installing Liquibase CLI,yes,Lesson 2.1 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.1.html,lu0rrpYD_F8,<ul><li>Find the liquibase website</li><li>Download the liquibase CLI tool</li><li>Setup Liquibase to apply changelogs</li></ul>
2,Getting Started with Liquibase,2,Apply a database change with Liquibase,yes,Lesson 2.2 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.2.html,,<ul><li>Get to know the update action of the Liquibase CLI</li><li>First hand exposure to Liquibase CLI</li><li>First hand exposure to change logs</li></ul>
2,Getting Started with Liquibase,3,Apply a database change with Liquibase and Maven,yes,Lesson 2.3 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.3.html,,<ul><li>Understand how to configure Liquibase iwth Maven.</li><li>Get to know some Liquibase Maven plugins that are available</li><li>Draw parallels between CLI and Maven</li><li>More experience running Liquibase update</li></ul>
2,Getting Started with Liquibase,4,Test a database change with Liquibase,yes,Lesson 2.4 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.4.html,,<ul><li>Understand how to test changes.</li><li>Learn to troubleshoot changes.</li></ul>
2,Getting Started with Liquibase,5,Rollback a database change with Liquibase,yes,Lesson 2.5 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.5.html,,<ul><li>Understand the use cases for rolling back changes.</li><li>See how to adapt your process to reverse changes.</li></ul>
2,Getting Started with Liquibase,6,Generate database documentation with Liquibase,yes,Lesson 2.6 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.6.html,,<ul><li>Learn to write documentation in change logs</li><li>Learn use Liquibase to generate HTML output of documentation.</li><li>Orientation on using documentation and understanding it.</li></ul>
2,Getting Started with Liquibase,7,Database Migration,yes,Lesson 2.7 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.7.html,,<ul><li>Migrate changes to the same database platform</li><li>Migrate changes to a different database platform.</li></ul>
3,Setting up a Liquibase Project,1,Structuring the project,yes,Lesson 3.1 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson3.1.html,,
3,Setting up a Liquibase Project,2,Setting up Maven,yes,Lesson 3.2 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson3.2.html,,
3,Setting up a Liquibase Project,3,Additional overhead for managing project changes,yes,Lesson 3.3 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson3.3.html,,
4,Managing Liquibase with Continuous Integration,1,Setting up Liquibase with Jenkins,yes,Lesson 4.1 Activity, http://r351574nc3.github.com/liquibase-course/lessons/Lesson4.1.html,,
4,Managing Liquibase with Continuous Integration,2,Automating database change testing,yes,Lesson 4.2 Activity, http://r351574nc3.github.com/liquibase-course/lessons/Lesson4.2.html,,
4,Managing Liquibase with Continuous Integration,3,Automating database environment migration,yes,Lesson 4.3 Activity, http://r351574nc3.github.com/liquibase-course/lessons/Lesson4.3.html,,
5,Change Management,1,Introduction to Change Management,yes,Lesson 5.1 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson5.1.html,,
5,Change Management,2,Coupling other changes with database changes,yes,Lesson 5.2 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson5.2.html,,
5,Change Management,3,Managing change flow,yes,Lesson 5.3 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson5.3.html,,
6,Putting it all together,1,Putting it all together,,,http://r351574nc3.github.com/liquibase-course/lessons/Lesson6.1.html,,
